Trial ID,Concept (Precise Term),Constraint / Qualifier,Cancer Type,Category,Inclusion/Exclusion,FHIR Resource,Code (LOINC/SNOMED/ICD),Example EMR Text,Unnamed: 9
NCT02819518,Breast cancer,Locally recurrent inoperable OR metastatic; no prior chemotherapy for advanced disease,Breast Cancer,Diagnosis,Inclusion,Condition,ICD-10: C50.x,"Metastatic breast cancer, chemo-naÃ¯ve",
NCT02819518,TNBC,Centrally confirmed (ASCO/CAP guidelines),Breast Cancer,Biomarker,Inclusion,Observation,SNOMED: 447894002 (Triple negative breast cancer),Triple negative confirmed by pathology,
NCT02819518,Prior treatment,Completed Stage I to III therapy; atleast 6 months since curative treatment,Breast Cancer,Treatment History,Inclusion,Procedure,,Finished adjuvant chemo 9 months ago,
NCT02819518,Anthracycline use,Received (neo)adjuvant anthracycline unless contraindicated,Breast Cancer,Treatment History,Inclusion,Medication,RxNorm: 19728 (Doxorubicin),Received adjuvant doxorubicin,
NCT02819518,Measurable disease,RECIST 1.1 measurable (local review),Breast Cancer,Imaging / Clinical,Inclusion,Observation,SNOMED: 710830005 (RECIST 1.1),Measurable lesion on CT,
NCT02819518,Biopsy specimen,Recent/new biopsy for TNBC & PD-L1 (unless contraindicated),Breast Cancer,Specimen,Inclusion,Specimen,LOINC: 85354-9 (PD-L1),Biopsy tissue sent for PD-L1,
NCT02819518,ECOG,atmost 1 (within 10 days prior to drug start),Breast Cancer,Clinical,Inclusion,Observation,LOINC: 89243-0 (ECOG),ECOG 1 at screening,
NCT02819518,Life expectancy,atleast 12 weeks,Breast Cancer,Clinical,Inclusion,Observation,,Life expectancy estimated 16 weeks,
NCT02819518,Organ function,Adequate organ function (labs within 10 days),Breast Cancer,Clinical,Inclusion,Observation,,Normal organ function labs,
NCT02819518,Female reproductive status,Not pregnant/breastfeeding; negative pregnancy test; contraception required if WOCBP,Breast Cancer,Reproductive,Inclusion,Observation,LOINC: 2106-3 (Pregnancy test),Negative serum pregnancy test,
NCT02819518,Male contraception,Sperm donation prohibited; contraception required unless azoospermic,Breast Cancer,Reproductive,Inclusion,Observation,,Agreed to contraception use,
NCT02819518,Investigational therapy,Received investigational agent/device within 4 weeks,Breast Cancer,Treatment History,Exclusion,Procedure,,Participated in investigational drug trial 2 weeks ago,
NCT02819518,Toxicity recovery,Not recovered from prior therapy to atleast Grade 1,Breast Cancer,Clinical,Exclusion,Observation,CTCAE v5.0,Grade 2 neuropathy from prior therapy,
NCT02819518,Neuropathy,atleast Grade 2,Breast Cancer,Clinical,Exclusion,Observation,CTCAE v5.0,Grade 3 neuropathy,
NCT02819518,Autoimmune disease,Active requiring systemic treatment within 2 years,Breast Cancer,Comorbidity,Exclusion,Condition,SNOMED: 698247007,Autoimmune hepatitis requiring steroids,
NCT02819518,Immunodeficiency/systemic steroids,Diagnosis of immunodeficiency OR systemic steroids within 7 days,Breast Cancer,Comorbidity,Exclusion,Condition,,On chronic prednisone,
NCT02819518,Other malignancy,"Additional malignancy requiring treatment within 5 years (exceptions: basal/squamous skin, in situ cervix)",Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 443961000124104,History of melanoma 2 years ago,
NCT02819518,CNS metastases,Active CNS mets/carcinomatous meningitis (treated stable allowed),Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 128606002,Active brain metastasis,
NCT02819518,Pneumonitis,History of pneumonitis requiring steroids OR current pneumonitis,Breast Cancer,Diagnosis,Exclusion,Condition,,History of steroid-treated pneumonitis,
NCT02819518,ILD,Active/history of interstitial lung disease,Breast Cancer,Diagnosis,Exclusion,Condition,SNOMED: 233703007 (Interstitial lung disease),ILD on CT scan,
NCT02819518,TB,Known history of active tuberculosis,Breast Cancer,Infectious Disease,Exclusion,Condition,ICD-10: A15.x,History of active TB,
NCT02819518,Infection,Active infection requiring systemic therapy,Breast Cancer,Infectious Disease,Exclusion,Condition,,IV antibiotics for sepsis,
NCT02819518,Cardiac disease,History of CHF (Class II to IV) or MI within 6 months,Breast Cancer,Comorbidity,Exclusion,Condition,SNOMED: 42343007 (CHF); SNOMED: 22298006 (MI),CHF Class III,
