Trial ID,Concept (Precise Term),Constraint / Qualifier,Cancer Type,Category,Inclusion/Exclusion,FHIR Resource,Code (LOINC/SNOMED/ICD),Example EMR Text
NCT02296125,Adenocarcinoma of lung,Pathologically confirmed,Lung Cancer,Diagnosis,Inclusion,Condition,SNOMED: 254637009 (Adenocarcinoma of lung),Biopsy confirmed adenocarcinoma
NCT02220894,Adequate organ function,Adequate hematologic/end organ,Lung Cancer,Clinical,Inclusion,Observation,,Lab results show adequate organ function
NCT02775435,Adequate organ function,Adequate hematologic/end organ,Lung Cancer,Clinical,Inclusion,Observation,,Lab tests show adequate organ function
NCT02296125,Age,atleast18 years,Lung Cancer,Demographic,Inclusion,Patient,SNOMED: 397669002 (Adult),55-year-old patient
NCT02613507,Age,atleast 18 years,Lung Cancer,Demographic,Inclusion,Patient,SNOMED: 397669002 (Adult),Patient is 55 years old
NCT02220894,ALK-positive,EML4-ALK fusion positive,Lung Cancer,Diagnosis,Exclusion,Condition,SNOMED: 444198004,ALK gene fusion positive
NCT02296125,Alternative anti-cancer therapy,Concurrent alternative therapy,Lung Cancer,Treatment History,Exclusion,Procedure,,Alternative anti-cancer drug ongoing
NCT02486718,Antibiotics,Therapeutic oral/IV antibiotics within 14 days,Lung Cancer,Treatment History,Exclusion,Medication,,On IV antibiotics 7 days ago
NCT02296125,Arrhythmia risk,"Risk of arrhythmia, unexplained sudden death <40 in family, QT-prolonging meds",Lung Cancer,Clinical,Exclusion,Observation,,Family history of sudden death at 35
NCT02220894,Autoimmune disease,Active requiring systemic treatment within past 2 years,Lung Cancer,Comorbidity,Exclusion,Condition,SNOMED: 698247007,Autoimmune hepatitis requiring steroids
NCT02366143,Autoimmune disease,History of,Lung Cancer,Comorbidity,Exclusion,Condition,SNOMED: 698247007,History of autoimmune disease
NCT02477826,Autoimmune disease,"Active, known, or suspected",Lung Cancer,Comorbidity,Exclusion,Condition,SNOMED: 698247007 (Autoimmune disease),Patient with autoimmune hepatitis
NCT02486718,Autoimmune disease,"History (myasthenia, lupus, RA, IBD, vasculitis, etc.)",Lung Cancer,Comorbidity,Exclusion,Condition,SNOMED: 698247007,History of systemic lupus erythematosus
NCT02613507,Autoimmune disease,History of,Lung Cancer,Comorbidity,Exclusion,Condition,SNOMED: 698247007 (Autoimmune disease),History of autoimmune disorder
NCT02775435,Autoimmune disease,Active requiring systemic therapy within 2 years,Lung Cancer,Comorbidity,Exclusion,Condition,SNOMED: 698247007,Autoimmune hepatitis requiring steroids
NCT03043872,Autoimmune disease,Active/prior documented autoimmune or inflammatory disorder,Small Cell Lung Cancer,Comorbidity,Exclusion,Condition,SNOMED: 698247007,History of rheumatoid arthritis
NCT03043872,Brain metastases,Allowed if asymptomatic/treated/stable off steroids/anticonvulsants â‰¥1 month,Small Cell Lung Cancer,Diagnosis,Inclusion,Condition,SNOMED: 128606002,Stable treated brain metastases
NCT01774721,Brain/leptomeningeal metastases,History of metastases,Lung Cancer,Diagnosis,Exclusion,Condition,SNOMED: 128606002,Prior brain metastasis
